Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
340750.01963973284,339854.698163831,337277.631435112,341167.3714122023,336631.75542733143,332833.2105676187,339679.8181152127,341881.37553708267
340763.430686406,339938.3830950717,337264.7568303057,341132.50269085204,336655.3588694762,332863.7877540336,339677.1359058781,341876.01111841336
340731.24417439033,339959.8407697488,337264.7568303057,341161.4705516661,336636.04696226685,332853.59535856196,339679.8181152127,341871.183141611
340721.58822078566,339939.9924206725,337281.38652818045,341161.4705516661,336628.0003342629,332847.1580561588,339690.01051068434,341874.9382346795
340690.47459250386,339920.6805134631,337299.08910978906,341180.24601700855,336641.94782280305,332864.32419590047,339700.7393480229,341886.7399557519
340742.50945359585,339912.6338854592,337301.23487725673,341174.8815983393,336628.53677612985,332865.93352150125,339708.24953415984,341870.6466997441
340714.6144765156,339899.222838786,337310.89083086146,341172.73583087156,336602.7875665173,332859.49621909816,339712.00462722837,341883.52130455035
340725.8797557211,339897.61351318524,337311.42727272835,341182.9282263432,336613.5164038559,332865.39707963436,339711.4681853614,341889.42216508655
340725.3433138542,339900.8321643868,337308.20862152684,341162.00699353305,336623.17235746054,332861.64198656584,339710.9317434945,341893.71370002197
340734.4628255919,339907.2694667899,337318.93745886534,341186.6833194117,336643.5571484038,332872.3708239044,339699.666464289,341904.44253736053
340741.9730117289,339902.4414899876,337325.3747612685,341188.8290868794,336655.89531134313,332870.22505643667,339699.666464289,341909.27051416284
340717.8331277172,339904.5872574553,337330.20273807086,341187.75620314555,336638.7291716015,332871.83438203746,339703.42155735753,341905.5154210944
340716.7602439833,339906.19658305607,337330.20273807086,341205.45878475416,336667.69703241554,332890.6098473799,339699.1300224221,341904.9789792274
340733.38994185807,339900.8321643868,337337.7129242078,341204.3859010203,336668.7699161494,332881.4903356422,339718.44192963146,341901.22388615896
34.33227948335165,2725807.0380457686,2719189.4911753526,2698800.408697177,2729699.4602321936,2693307.243979841,2663124.8787790393,2717670.2878082143
340722.6611045195,339895.4677457175,337344.6866684779,341215.1147383588,336686.472497758,332892.2191729807,339711.4681853614,341928.58242137224
340729.6348487896,339894.9313038506,337356.4883895503,341216.1876220927,336685.93605589104,332888.4640799122,339722.1970227,341923.218002703
